,City,Date,Humidity,Latitude,Longitude,Temperature,Wind,Cloud Cover
293,Thunder Bay,1571617758,100,48.41,-89.26,48.0,8.05,75
512,Petropavlovskoye,1571617965,100,46.79,142.5,44.6,6.71,6
19,Kristianstad,1571617493,100,56.03,14.16,50.0,2.24,100
271,Rapid Valley,1571617737,100,44.06,-103.15,36.0,38.03,90
272,Ferrol,1571617738,100,43.48,-8.23,55.0,2.24,37
521,Mapiri,1571617975,98,-15.31,-68.22,53.53,1.07,100
300,Perene,1571617765,98,-10.95,-75.23,53.37,0.92,100
530,Sovetskiy,1571617984,98,56.76,48.47,47.27,6.24,100
330,Ludvika,1571617792,98,60.15,15.18,42.01,3.0,99
64,Zeya,1571617534,97,53.74,127.27,35.55,6.93,100
445,Batticaloa,1571617902,97,7.71,81.69,74.3,3.04,100
463,Syamzha,1571617919,97,60.02,41.06,40.41,3.74,77
247,Tchibanga,1571617714,97,-2.92,11.0,71.93,1.19,74
495,Mumford,1571617949,97,5.26,-0.76,73.38,3.6,59
498,Slyudyanka,1571617951,97,51.66,103.72,24.19,1.9,97
287,Tigil,1571617752,97,57.8,158.67,30.85,11.63,100
176,Talavera de la Reina,1571617646,97,39.96,-4.83,46.0,1.01,0
303,Iseyin,1571617767,97,7.97,3.6,69.93,2.44,96
258,Simao,1571617725,97,22.76,100.79,60.53,0.47,38
269,Entre Rios,1571617735,96,-11.94,-38.08,69.77,6.26,0
321,Kargopol,1571617784,96,61.51,38.95,37.17,3.53,83
284,Mabaruma,1571617749,96,8.2,-59.78,74.03,2.62,98
388,Mairana,1571617848,96,-18.12,-63.96,58.62,2.62,58
299,Tazovskiy,1571617764,96,67.47,78.7,26.48,9.8,100
165,Deputatskiy,1571617635,96,69.3,139.9,6.03,2.13,96
364,Zhigansk,1571617826,96,66.77,123.37,1.91,4.97,94
475,Mongoumba,1571617930,96,3.64,18.59,70.11,2.44,29
7,Lavrentiya,1571617481,95,65.58,-170.99,25.29,4.32,100
344,Oxchuc,1571617808,95,16.78,-92.34,66.87,1.32,23
113,Naze,1571617581,95,5.43,7.07,73.44,1.07,68
427,Ulagan,1571617885,95,50.63,87.96,5.38,4.79,100
191,Ylivieska,1571617660,95,64.07,24.53,35.01,3.44,100
66,La Palma,1571617536,95,5.36,-74.39,68.79,2.82,88
518,Oranjemund,1571617972,95,-28.55,16.43,58.35,9.78,0
346,Mizan Teferi,1571617810,95,6.99,35.58,60.84,3.2,23
94,Leningradskiy,1571617563,94,69.38,178.42,23.96,23.78,100
381,Seymchan,1571617842,94,62.93,152.39,17.15,1.72,98
180,Galich,1571617650,94,58.38,42.35,42.78,1.99,72
130,Tabou,1571617599,94,4.42,-7.36,75.9,3.11,96
389,Vao,1571617849,94,59.1,26.19,52.07,9.78,100
46,Cayenne,1571617518,94,4.94,-52.33,77.0,1.12,99
355,Khatanga,1571617818,94,71.98,102.47,16.11,15.35,100
132,Yar-Sale,1571617600,94,66.83,70.83,24.8,11.88,100
319,Manacapuru,1571617782,94,-3.3,-60.62,71.6,4.16,75
137,Rincon,1571617605,94,8.46,-82.28,77.0,4.7,75
111,Maceio,1571617580,94,-9.67,-35.74,73.4,5.82,0
241,New Port Richey,1571617708,94,28.24,-82.72,80.6,4.29,1
2,Chokurdakh,1571617474,94,70.62,147.9,4.7,4.21,100
450,Along,1571617907,94,28.17,94.8,51.86,2.37,100
448,Monrovia,1571617905,94,6.33,-10.8,77.0,4.0,20
172,San Patricio,1571617641,94,-26.98,-56.83,60.42,6.78,100
135,Coihaique,1571617603,93,-45.58,-72.07,42.8,3.36,75
55,Torbay,1571617526,93,47.66,-52.73,46.0,5.82,90
142,Gravdal,1571617610,93,59.79,5.78,46.4,10.29,0
122,Nikolskoye,1571617591,93,59.7,30.79,52.0,6.71,90
36,Port Elizabeth,1571617509,93,39.31,-74.98,57.99,17.22,90
337,Scarborough,1571617799,93,54.28,-0.41,52.0,11.41,87
21,Bethel,1571617495,93,60.79,-161.76,37.4,5.82,90
334,Farroupilha,1571617796,93,-29.22,-51.34,63.0,7.0,97
320,Souillac,1571617783,93,45.6,-0.6,50.0,2.21,0
314,Kamenka,1571617778,93,48.03,28.7,48.0,4.85,0
301,Charlottetown,1571617766,93,46.23,-63.13,42.01,4.36,5
18,Vardo,1571617492,93,39.62,-77.74,54.0,9.17,90
279,Srednekolymsk,1571617744,93,67.46,153.71,15.33,2.89,100
507,Hamilton,1571617960,93,43.26,-79.87,55.0,5.82,5
260,Nago,1571617727,93,45.88,10.89,64.99,5.82,20
257,Terrace,1571617724,93,54.52,-128.61,42.8,2.24,90
253,Tangara,1571617720,93,-2.92,29.97,58.55,1.07,70
252,Westport,1571617719,93,41.14,-73.36,54.0,6.93,90
250,Kitimat,1571617717,93,54.02,-128.69,42.8,2.24,90
212,Homer,1571617680,93,59.64,-151.54,43.0,3.36,90
520,Tenno,1571617974,93,45.92,10.83,64.99,3.36,20
524,Ust-Maya,1571617978,93,60.42,134.54,24.82,3.11,0
477,Durres,1571617933,93,41.32,19.44,55.4,3.36,0
338,Verkhnevilyuysk,1571617800,93,63.45,120.31,27.12,6.76,100
60,Vila,1571617531,93,45.18,8.4,63.0,18.34,75
467,Harur,1571617923,93,12.06,78.48,71.12,1.86,100
441,Koslan,1571617898,93,63.46,48.9,34.25,4.59,99
186,Tiksi,1571617655,92,71.64,128.87,1.11,6.04,11
202,Rovaniemi,1571617671,92,66.5,25.72,24.8,3.36,90
31,Barcelos,1571617504,92,-0.97,-62.93,75.8,1.34,98
184,Mokhsogollokh,1571617654,92,61.4,128.95,26.44,6.82,72
426,Amga,1571617884,92,60.89,131.98,24.75,3.85,45
387,Talnakh,1571617847,92,69.49,88.39,19.4,22.37,75
268,Sorong,1571617735,92,-0.86,131.25,78.66,5.93,98
409,Aldan,1571617869,92,58.61,125.39,26.91,1.95,28
101,Lukovetskiy,1571617570,92,64.29,41.92,32.0,6.71,90
242,Alta Floresta,1571617710,92,-9.87,-56.08,73.47,1.52,100
329,Markova,1571617791,92,52.21,104.21,30.2,6.71,75
362,Uvira,1571617824,92,-3.41,29.14,52.11,1.25,75
285,Ivdel,1571617750,91,60.7,60.42,29.41,4.56,100
442,Chimbote,1571617899,91,-9.08,-78.59,61.18,13.33,73
434,Phek,1571617892,91,25.7,94.46,66.13,2.8,2
353,Darlowo,1571617816,91,54.42,16.41,55.99,10.92,94
295,Vestmannaeyjar,1571617760,91,63.44,-20.27,48.92,36.55,100
481,Arkhangelsk,1571617936,90,64.54,40.54,32.0,6.71,90
474,Verkhnyaya Inta,1571617929,90,65.99,60.32,20.57,10.42,87
501,Consolacion del Sur,1571617955,90,22.5,-83.51,75.96,2.8,92
369,Georgiyevka,1571617831,90,52.25,40.45,52.29,6.73,78
382,Necochea,1571617842,90,-38.55,-58.74,54.0,8.01,100
189,Troitskoye,1571617658,90,52.98,84.68,16.0,4.47,0
197,Grand-Santi,1571617665,90,4.27,-54.38,74.1,2.01,91
70,Henties Bay,1571617540,90,-22.12,14.28,61.0,1.01,0
408,Cherskiy,1571617868,89,68.75,161.3,5.54,1.41,0
417,Talara,1571617876,89,-4.58,-81.27,64.96,19.04,16
401,Tucurui,1571617860,89,-3.77,-49.67,75.69,2.91,97
171,Komsomolskiy,1571617640,89,67.55,63.78,14.02,6.71,32
414,Paita,1571617873,89,-5.09,-81.11,63.74,18.03,62
223,Barroquinha,1571617692,89,-3.02,-41.13,76.01,5.3,100
490,General Pico,1571617944,89,-35.66,-63.75,53.82,7.78,100
397,Vostok,1571617856,89,46.45,135.83,44.62,5.01,82
134,Nyurba,1571617602,89,63.29,118.35,21.15,7.61,100
263,Kruisfontein,1571617730,89,-34.0,24.73,55.92,7.16,89
150,Mnogovershinnyy,1571617618,89,53.94,139.92,40.34,5.55,81
424,Carmen,1571617882,88,7.36,125.71,80.6,1.12,75
506,Ventimiglia,1571617959,88,43.79,7.6,66.0,8.05,90
470,Hella,1571617926,88,10.47,-3.27,74.32,5.75,99
489,Jacksonville,1571617943,88,30.33,-81.66,75.99,1.36,1
460,Chateaubelair,1571617916,88,13.28,-61.25,80.6,9.17,20
238,Tarko-Sale,1571617706,88,64.92,77.78,25.0,4.0,100
316,Mayo,1571617780,88,63.59,-135.9,32.0,0.65,90
231,Camopi,1571617699,88,3.17,-52.33,73.98,3.33,53
378,Hualmay,1571617839,88,-11.1,-77.61,61.86,16.28,36
357,Freeport,1571617820,88,26.54,-78.7,82.4,5.82,75
147,Martapura,1571617616,88,-3.41,114.85,78.8,3.36,20
98,Nouadhibou,1571617567,88,20.93,-17.03,68.0,13.87,57
133,Limbang,1571617601,88,4.75,115.01,86.0,3.36,75
34,Nouakchott,1571617507,88,18.08,-15.98,73.4,12.75,0
393,Birin,1571617853,88,26.89,88.07,73.4,2.64,75
108,Illapel,1571617577,88,-31.63,-71.17,47.9,6.31,18
456,Tateyama,1571617913,87,36.66,137.31,64.0,1.12,75
336,Broome,1571617798,87,52.47,1.45,53.6,6.93,58
504,Birobidzhan,1571617957,87,48.79,132.93,43.56,7.07,89
349,Mastic Beach,1571617813,87,40.77,-72.85,54.0,6.93,90
472,Saldanha,1571617928,87,41.42,-6.55,46.85,2.71,67
236,Lewistown,1571617704,87,40.39,-90.15,60.01,6.93,1
1,Ancud,1571617473,87,-41.87,-73.83,44.6,12.75,75
292,Huarmey,1571617757,87,-10.07,-78.15,61.77,18.19,87
400,Wegorzewo,1571617859,87,54.22,21.74,54.66,5.82,99
32,Ostrovnoy,1571617505,87,68.05,39.51,20.68,7.96,54
208,Padang,1571617677,87,-0.92,100.36,78.51,14.94,26
517,Pinillos,1571617970,87,8.92,-74.46,77.34,1.88,15
335,Ban Nahin,1571617797,87,18.24,104.21,67.86,2.48,17
109,Klaksvik,1571617578,87,62.23,-6.59,44.6,11.41,100
360,Biu,1571617823,87,10.61,12.19,73.47,1.72,80
115,Albion,1571617583,87,41.69,-98.0,55.4,8.05,90
225,Sampit,1571617694,87,-2.54,112.95,79.83,4.83,40
67,Castro,1571617537,87,-42.48,-73.76,44.6,12.75,75
65,Albany,1571617535,87,42.65,-73.75,50.0,1.41,75
35,Port Alfred,1571617508,87,-33.59,26.89,63.0,1.01,51
199,Geraldton,1571617668,86,49.72,-86.95,41.0,3.11,20
384,Banjar,1571617844,86,-7.37,108.54,74.79,0.83,88
254,Sechura,1571617721,86,-5.56,-80.82,63.74,14.56,100
439,Mahon,1571617896,86,51.89,-8.4,41.0,14.99,40
153,Tomatlan,1571617622,86,19.93,-105.25,76.61,4.14,100
187,Flin Flon,1571617656,86,54.77,-101.88,37.4,4.7,75
164,Rio Grande,1571617634,86,-32.03,-52.1,55.56,1.7,100
494,Iqaluit,1571617948,86,63.75,-68.52,30.2,12.75,75
156,Sao Filipe,1571617625,86,14.9,-24.5,77.87,21.41,55
26,Thompson,1571617499,86,55.74,-97.86,39.2,6.93,90
486,Tanem,1571617941,86,63.31,10.43,37.99,10.29,40
76,Saskylakh,1571617546,85,71.97,114.09,6.59,10.96,99
487,Polyarnyy,1571617941,85,69.2,33.45,23.0,4.47,40
368,Sorland,1571617830,85,67.67,12.69,41.11,13.71,99
511,Tromso,1571617964,85,69.65,18.96,33.8,20.8,90
488,Promyshlennaya,1571617942,85,54.92,85.64,17.6,6.71,90
28,Hermanus,1571617501,84,-34.42,19.24,55.99,1.01,84
237,Kavieng,1571617705,84,-2.57,150.8,79.18,8.75,100
84,East London,1571617553,84,-33.02,27.91,59.97,7.49,84
211,Okha,1571617679,84,53.59,142.95,43.79,8.72,100
323,Vanderhoof,1571617786,84,54.02,-124.02,38.21,2.24,97
148,Chuy,1571617617,84,-33.69,-53.46,56.81,5.39,100
160,Meulaboh,1571617630,84,4.14,96.13,79.31,8.12,100
322,Upata,1571617785,84,8.02,-62.41,78.01,1.99,35
117,Dikson,1571617585,84,73.51,80.55,25.05,14.45,94
81,Samarai,1571617551,84,-10.62,150.67,78.5,5.79,72
359,Ereymentau,1571617822,84,51.62,73.1,16.41,2.53,0
449,Pangkalanbuun,1571617906,84,-2.68,111.62,79.56,3.29,72
190,Inongo,1571617659,84,-1.93,18.29,73.19,1.79,58
367,Acapulco,1571617829,83,16.86,-99.88,82.4,1.52,75
53,Georgetown,1571617524,83,6.8,-58.16,82.4,4.7,20
229,Tecoanapa,1571617697,83,16.99,-99.26,82.4,0.83,75
473,Dovers,1571617929,83,12.88,-61.18,80.6,10.18,40
352,Le Vauclin,1571617816,83,14.55,-60.84,80.6,3.36,75
356,Namibe,1571617819,83,-15.19,12.15,69.82,3.06,70
418,Santa Fe,1571617877,83,-31.62,-60.7,59.0,1.99,57
342,Nome,1571617805,83,30.04,-94.42,82.99,5.82,1
52,Avarua,1571617523,83,-21.21,-159.78,78.8,16.11,4
163,Masterton,1571617633,83,-40.95,175.66,64.0,7.0,84
383,High Level,1571617843,83,58.52,-117.13,33.8,1.39,75
209,Kudat,1571617678,83,6.89,116.84,82.4,3.36,75
181,Rusera,1571617651,83,25.75,86.02,72.27,6.69,81
259,Wajima,1571617726,82,37.4,136.9,60.8,10.29,75
468,Celestun,1571617924,82,20.87,-90.4,84.44,17.27,0
313,Ghelinta,1571617777,82,45.95,26.23,53.01,1.01,0
265,Omboue,1571617732,82,-1.57,9.26,77.88,1.41,33
10,Lagoa,1571617484,82,37.14,-8.45,55.4,2.24,0
216,Katsuura,1571617685,82,33.93,134.5,64.99,5.82,75
166,Caravelas,1571617635,82,-17.73,-39.27,76.14,14.0,88
136,Antofagasta,1571617604,82,-23.65,-70.4,57.2,14.99,75
203,Esperance,1571617672,82,-33.86,121.89,64.4,14.99,90
217,Sibolga,1571617686,82,1.74,98.78,80.73,10.49,83
179,Portland,1571617649,81,43.66,-70.25,51.01,3.36,1
276,Juneau,1571617742,81,58.3,-134.42,48.2,6.93,20
318,Sioux Lookout,1571617782,81,50.1,-91.92,50.0,3.36,20
188,Saint-Philippe,1571617657,81,45.36,-73.48,48.0,2.24,75
351,Solnechnyy,1571617815,81,50.72,136.64,41.83,2.17,67
371,Krasnogorsk,1571617833,81,55.82,37.34,55.0,8.95,81
394,Millinocket,1571617853,81,45.66,-68.71,46.0,3.6,1
87,Mgandu,1571617557,81,-5.96,34.11,63.7,9.66,14
423,Luderitz,1571617882,81,-26.65,15.16,58.1,25.79,0
288,Sinnamary,1571617753,81,5.38,-52.96,81.38,14.41,45
56,Yarmouth,1571617527,81,43.84,-66.12,44.6,6.02,90
54,Kalawit,1571617525,81,7.91,122.53,81.16,0.6,72
392,Fairview,1571617852,80,56.07,-118.38,39.99,4.74,75
509,Richards Bay,1571617962,80,-28.77,32.06,71.53,22.75,99
447,Akhtubinsk,1571617904,80,48.29,46.17,49.62,5.77,8
446,Lorengau,1571617903,80,-2.02,147.27,83.1,8.46,59
528,Skelleftea,1571617981,80,64.75,20.95,30.2,4.7,20
404,Passo Fundo,1571617864,79,-28.26,-52.41,59.6,10.09,92
119,Hobyo,1571617588,79,5.35,48.53,79.5,4.14,92
363,Livingstonia,1571617826,79,-10.61,34.11,60.48,3.56,7
128,Upernavik,1571617596,79,72.79,-56.15,18.45,7.92,50
375,Marau,1571617836,79,-28.45,-52.2,59.6,10.09,92
86,Labuhan,1571617556,79,-2.54,115.51,80.03,0.58,68
466,Bluefields,1571617922,79,12.01,-83.77,84.2,4.7,20
183,Astana,1571617653,79,51.13,71.43,21.2,8.95,40
307,Portree,1571617771,78,57.41,-6.19,44.01,2.86,91
339,San Cristobal,1571617801,78,14.68,-86.92,70.76,6.35,75
458,Itoman,1571617914,78,26.12,127.67,80.6,9.17,40
159,Vila Velha,1571617629,78,-3.71,-38.6,80.01,6.93,0
170,Sulangan,1571617639,78,11.14,123.72,83.0,10.92,100
294,Aquiraz,1571617759,78,-3.9,-38.39,80.01,6.93,0
484,Bathsheba,1571617939,78,13.22,-59.52,80.6,5.82,40
515,Qeshm,1571617968,78,26.96,56.27,77.0,4.7,0
24,Kapaa,1571617498,78,22.08,-159.32,84.2,9.17,90
513,Guerrero Negro,1571617966,78,27.97,-114.04,67.73,16.6,0
224,Gat,1571617693,78,14.69,-16.54,78.8,2.24,1
13,Ponta do Sol,1571617487,78,-20.63,-46.0,70.63,2.42,48
406,Darnah,1571617866,78,32.77,22.64,72.77,11.48,87
239,Ambilobe,1571617706,78,-13.19,49.05,70.97,8.08,14
370,San Quintin,1571617832,78,17.54,120.52,77.81,3.85,16
373,Pershotravneve,1571617835,78,51.38,28.88,55.17,6.58,0
505,Tiznit,1571617958,78,29.7,-9.73,65.68,20.33,0
219,Pochutla,1571617688,78,15.74,-96.47,84.2,9.17,75
77,Bandarbeyla,1571617546,78,9.49,50.81,75.35,10.25,13
210,Gizo,1571617679,78,31.8,34.94,71.6,4.7,20
422,Media Luna,1571617881,77,-21.67,-64.63,59.0,9.17,75
485,Kichera,1571617940,77,55.93,110.1,13.8,7.4,100
118,Porto Novo,1571617586,77,-23.68,-45.44,60.8,3.36,75
403,Santa Cruz de la Palma,1571617862,77,28.68,-17.76,66.2,12.75,90
155,Kamiiso,1571617624,77,41.82,140.65,59.0,1.12,40
522,Dwarka,1571617976,77,28.58,77.04,68.0,3.36,20
103,Jacareacanga,1571617572,77,-6.22,-57.76,77.47,0.72,100
106,Poum,1571617575,77,41.28,20.71,51.08,1.03,0
437,Benghazi,1571617895,77,32.12,20.07,73.24,13.67,100
361,San Joaquin,1571617823,77,10.59,122.14,82.06,5.44,97
221,Adra,1571617690,77,36.75,-3.02,59.0,3.36,0
523,Angoche,1571617977,77,-16.23,39.91,75.18,6.02,0
204,Fare,1571617673,77,-16.7,-151.02,79.88,9.84,98
248,Los Llanos de Aridane,1571617715,77,28.66,-17.92,66.2,12.75,90
311,Koplik,1571617775,76,42.21,19.44,57.2,3.36,0
68,Ahipara,1571617538,76,-35.17,173.16,73.99,18.14,0
97,Husavik,1571617566,76,50.56,-96.99,50.0,6.13,96
493,Waitara,1571617947,76,-39.0,174.24,61.0,11.99,18
280,Nanortalik,1571617746,76,60.14,-45.24,39.38,7.02,0
256,Lebu,1571617723,76,8.96,38.73,55.4,4.7,75
503,Rockland,1571617956,76,45.55,-75.29,48.99,4.7,40
332,Fereydunshahr,1571617794,76,32.94,50.12,38.16,0.22,44
200,Ucluelet,1571617669,76,48.94,-125.55,54.0,8.05,40
185,Faanui,1571617654,76,-16.48,-151.75,81.03,11.05,98
443,San Policarpo,1571617900,75,12.18,125.51,81.93,2.17,19
482,Beringovskiy,1571617937,75,63.05,179.32,20.32,6.4,60
233,Havre-Saint-Pierre,1571617701,75,50.23,-63.6,41.0,6.93,20
152,Voh,1571617621,75,-20.95,164.69,74.81,13.44,0
146,Kirakira,1571617614,75,-10.46,161.92,83.99,9.4,79
261,Baracoa,1571617728,75,20.35,-74.5,83.61,5.46,73
492,Punta Cardon,1571617946,75,11.61,-70.22,83.97,21.43,97
274,Laguna,1571617740,74,16.17,-88.94,87.8,3.27,20
107,Touros,1571617576,74,-5.2,-35.46,78.8,13.87,75
4,Alofi,1571617479,74,-19.06,-169.92,84.2,4.7,71
291,Port Lincoln,1571617756,74,-34.72,135.86,59.87,7.9,95
80,Yeniseysk,1571617550,74,58.45,92.17,19.35,4.07,0
75,Aloleng,1571617545,74,16.13,119.78,82.38,3.56,64
114,Busselton,1571617582,74,-33.64,115.35,64.99,3.0,1
158,Cidreira,1571617628,74,-30.17,-50.22,60.17,8.12,100
232,Natal,1571617700,74,-5.81,-35.21,80.6,13.87,75
416,La Ronge,1571617875,74,55.1,-105.3,35.6,6.93,90
83,Hithadhoo,1571617552,74,-0.6,73.08,80.78,10.98,67
230,Mangan,1571617698,74,27.5,88.54,50.25,4.61,97
8,Victoria,1571617482,74,5.28,115.24,86.0,2.24,75
220,Port Blair,1571617689,74,11.67,92.75,84.22,13.15,91
167,Panguna,1571617636,73,-6.32,155.48,82.42,2.46,1
266,Yerbogachen,1571617733,73,61.28,108.01,21.63,2.93,100
193,Berlevag,1571617661,73,70.86,29.09,32.36,26.66,100
514,Batagay-Alyta,1571617967,73,67.8,130.41,8.37,3.65,32
453,Tambovka,1571617910,73,47.32,47.38,51.35,6.98,13
325,Fomboni,1571617788,73,-12.28,43.74,79.05,4.41,39
315,Strezhevoy,1571617779,73,60.73,77.6,21.2,11.18,0
44,Tuktoyaktuk,1571617516,73,69.44,-133.03,21.2,9.17,20
57,Tyukhtet,1571617528,73,56.54,89.31,17.06,3.0,0
50,Cabo San Lucas,1571617522,73,22.89,-109.91,82.99,12.75,5
195,Northam,1571617663,72,-31.65,116.67,64.4,5.82,75
402,Querendaro,1571617861,72,19.81,-100.88,69.01,10.29,75
411,Hueytown,1571617870,72,33.45,-87.0,68.0,4.38,1
343,Palu,1571617807,72,-0.9,119.87,81.32,2.37,100
455,Galveston,1571617912,72,40.58,-86.19,62.6,4.54,1
92,Aklavik,1571617561,72,68.22,-135.01,17.6,9.17,75
243,Waipawa,1571617711,72,-39.94,176.59,59.0,13.0,25
41,Longyearbyen,1571617514,72,78.22,15.63,14.0,12.75,75
214,Perpignan,1571617682,72,42.7,2.88,64.0,5.82,40
399,Buala,1571617858,72,-8.15,159.59,83.99,8.19,67
12,Hasaki,1571617486,72,35.73,140.83,68.0,13.87,75
218,Kudahuvadhoo,1571617687,72,2.67,72.89,82.56,8.25,100
14,Vila Franca do Campo,1571617488,72,37.72,-25.43,60.8,6.93,20
151,Pijijiapan,1571617619,72,15.69,-93.21,83.99,2.62,55
255,Bolivar,1571617722,72,37.61,-93.41,66.2,11.41,1
412,Neftcala,1571617871,71,39.37,49.25,59.9,6.8,0
377,Bani,1571617838,71,16.02,42.93,85.88,2.46,0
121,Nchelenge,1571617590,71,-9.35,28.74,74.55,6.33,95
264,Chulym,1571617731,71,55.09,80.97,19.4,4.0,0
9,Brewster,1571617483,71,41.76,-70.08,55.99,4.7,40
436,Mount Gambier,1571617894,71,-37.83,140.78,53.6,5.82,90
5,Rikitea,1571617480,71,-23.12,-134.97,70.13,14.54,100
16,Pevek,1571617490,71,69.7,170.27,27.43,10.65,99
461,Key West,1571617917,71,47.93,-96.78,51.8,5.79,75
432,Tartagal,1571617890,70,-22.52,-63.8,65.63,3.58,61
290,Baker City,1571617755,70,44.77,-117.83,44.01,17.22,90
502,Longkou,1571617955,70,37.64,120.47,62.39,4.76,93
328,Puerto Escondido,1571617791,70,15.86,-97.07,84.2,6.93,75
139,Atuona,1571617607,70,-9.8,-139.03,79.74,11.97,82
78,Ambanja,1571617547,70,-13.68,48.45,79.72,4.74,33
374,Oranzherei,1571617836,70,45.85,47.57,48.0,4.47,0
306,Meadow Lake,1571617770,69,54.13,-108.44,37.4,2.24,90
327,Petropavl,1571617790,69,54.87,69.13,24.19,7.85,0
177,Texarkana,1571617647,69,33.44,-94.04,78.01,3.36,1
23,Mataura,1571617497,69,-46.19,168.86,50.0,15.01,41
350,Nipawin,1571617814,69,53.36,-104.02,35.6,5.82,1
354,Kailua,1571617818,69,21.39,-157.74,87.8,9.17,75
333,Karema,1571617795,69,-6.82,30.44,76.46,2.42,32
90,Miracema do Tocantins,1571617559,69,-9.56,-48.4,80.21,2.21,80
173,Tuatapere,1571617642,69,-46.13,167.69,50.0,15.01,39
213,Vysokogornyy,1571617681,69,50.1,139.13,41.52,3.15,49
372,Sale,1571617834,69,-38.11,147.06,60.01,5.99,12
273,Severo-Kurilsk,1571617739,69,50.68,156.12,41.85,12.93,0
358,Lufkin,1571617821,69,31.34,-94.73,82.4,16.11,1
11,Bindki,1571617485,68,26.04,80.58,74.27,5.88,100
407,Bantogon,1571617867,68,6.53,124.03,82.38,0.83,20
15,Arraial do Cabo,1571617489,68,-22.97,-42.02,71.6,10.29,75
71,Yellowknife,1571617541,68,62.45,-114.38,28.4,6.93,20
48,Butaritari,1571617520,68,3.07,172.79,85.16,10.85,15
73,Puerto Ayora,1571617542,68,-0.74,-90.35,71.6,20.8,20
526,Lasa,1571617980,68,34.92,32.53,68.0,8.05,20
6,Indaial,1571617481,68,-26.9,-49.24,68.0,8.05,40
480,Bangkalan,1571617935,68,-7.05,112.74,80.75,2.98,100
174,Paamiut,1571617644,67,61.99,-49.67,40.43,14.09,0
227,Half Moon Bay,1571617695,67,37.46,-122.43,73.0,13.87,1
396,Alugan,1571617855,67,12.22,125.48,84.2,2.46,10
138,Ilulissat,1571617606,67,69.22,-51.1,21.2,11.14,46
39,Coquimbo,1571617512,67,-29.95,-71.34,57.2,3.36,0
234,Rio Verde de Mato Grosso,1571617702,66,-18.92,-54.84,80.08,1.48,96
497,Atasu,1571617951,66,48.68,71.64,21.18,11.9,0
317,Contamana,1571617780,66,-7.35,-75.01,78.37,1.74,82
49,Isangel,1571617521,66,-19.55,169.27,84.2,9.17,75
215,Praya,1571617684,66,-8.71,116.27,84.2,5.82,40
74,Lata,1571617543,65,30.78,78.62,23.69,2.1,33
207,El Alto,1571617676,65,-16.5,-68.19,46.4,8.05,40
17,Ushuaia,1571617491,65,-54.81,-68.31,44.6,4.7,20
100,Punta Arenas,1571617569,65,-53.16,-70.91,44.6,19.46,0
131,Zaysan,1571617599,65,47.47,84.87,24.8,9.13,100
93,Comarapa,1571617562,65,-17.91,-64.53,65.01,3.42,92
112,Jalu,1571617581,64,29.03,21.55,72.81,14.52,60
278,Jonesboro,1571617744,64,35.84,-90.7,72.0,5.82,75
145,Foam Lake,1571617613,64,51.65,-103.53,39.87,7.16,96
366,Provideniya,1571617828,64,64.42,-173.23,33.8,11.18,0
433,Lar,1571617891,63,27.66,54.32,64.4,2.8,0
469,Vallenar,1571617925,63,-28.58,-70.76,52.38,2.66,0
129,Cuamba,1571617598,63,-14.8,36.54,74.07,0.98,73
125,Kodiak,1571617594,63,39.95,-94.76,60.8,8.05,90
